mentions_id,start_id,end_id,times
296032,86684,67357,1
296033,67181,63007,2
296034,64038,98795,1
296035,79551,64516,1
296036,87002,65030,1
296037,58063,97431,1
296038,96454,98821,1
296039,56771,97188,1
296040,56752,97182,1
296041,84059,57692,1
296042,61074,73784,2
296043,72257,58879,1
296044,87269,86735,2
296045,61799,61796,1
296046,59212,59211,1
296047,80653,58597,1
296048,62564,97606,1
296049,56695,56965,1
296050,56823,56743,1
296051,62431,98456,1
296052,67232,69565,1
296053,64102,67159,1
296054,57193,97286,1
296055,60733,56677,1
296056,60733,56987,1
296057,91353,96724,1
296058,60118,97859,1
296059,58192,59020,1
296060,86013,99694,1
296061,83784,79551,1
296062,59456,83848,1
296063,85831,61544,1
296064,57444,97318,1
296065,86231,86132,1
296066,86231,86176,1
296067,94019,93110,1
296068,57724,97349,1
296069,87401,73795,2
296070,80909,96758,1
296071,95796,89442,1
296072,62523,98498,1
296073,98784,58742,1
296074,61120,61531,1
296075,86399,85515,1
296076,61387,98164,1
296077,92276,64463,1
296078,60528,97928,2
296079,97576,82941,1
296080,57831,97390,1
296081,77395,98968,1
296082,96865,97567,1
296083,89237,89237,1
296084,57316,97305,1
296085,57426,61206,1
296086,85947,85973,1
296087,96407,66676,1
296088,82178,97258,1
296089,59162,97604,1
296090,56612,56743,1
296091,64572,65124,1
296092,64572,69448,1
296093,64092,96185,1
296094,64092,63853,1
296095,79351,79350,1
296096,84863,83675,1
296097,84863,83648,1
296098,84863,82904,1
296099,97208,96535,1
296100,63633,98718,1
296101,58925,94491,1
296102,58925,80241,1
296103,58925,67394,1
296104,58830,97524,1
296105,57674,97355,1
296106,61794,95198,1
296107,62206,98368,1
296108,62206,76163,1
296109,64004,64463,1
296110,60094,82924,1
296111,73401,91826,1
296112,77282,99077,1
296113,98918,97401,1
296114,80047,80040,1
296115,62548,98509,1
296116,76751,98977,1
296117,59424,88567,1
296118,57877,79100,1
296119,85295,85230,1
296120,80276,82857,1
296121,65200,70693,1
296122,58987,58987,1
296123,57933,58108,1
296124,57933,97238,1
296125,98973,61796,1
296126,77086,79635,1
296127,83896,76553,1
296128,83896,84452,1
296129,62296,98398,1
296130,64852,64791,1
296131,64852,61976,1
296132,60125,69197,1
296133,58053,88314,1
296134,70055,61512,1
296135,86065,61544,1
296136,67977,67889,1
296137,64844,67314,1
296138,98123,61531,1
296139,77955,99253,1
296140,66676,67936,1
296141,66676,66676,1
296142,66676,65694,1
296143,87289,86585,1
296144,59599,76993,1
296145,98049,61582,1
296146,62123,98222,1
296147,86317,96941,1
296148,80033,78647,1
296149,60120,97860,1
296150,85277,85174,1
296151,94978,98067,1
296152,59031,96353,1
296153,58288,58317,1
296154,62073,97407,1
296155,96416,69983,1
296156,63891,98770,1
296157,60484,97912,1
296158,61666,98241,1
296159,90100,58987,1
296160,57737,57855,1
296161,57942,56965,1
296162,86328,85214,1
296163,86328,85208,1
296164,59124,58987,1
296165,59124,97869,1
296166,82910,59890,1
296167,61218,61544,1
296168,76835,95111,1
296169,61086,60967,1
296170,58899,94737,2
296171,58899,89442,1
296172,58899,71473,2
296173,63675,98315,1
296174,88401,95162,3
296175,64494,96426,1
296176,78628,99331,1
296177,56829,56922,1
296178,58044,89469,1
296179,86381,86285,1
296180,86381,86176,1
296181,58816,58402,1
296182,58816,68595,1
296183,65042,66524,3
296184,65042,88841,1
296185,76638,95135,1
296186,59591,96394,1
296187,93258,65164,2
296188,70694,61976,1
296189,82379,89469,1
296190,57517,90100,1
296191,57517,96394,1
296192,95729,64463,1
296193,63724,98728,1
296194,59953,97814,1
296195,88952,89442,1
296196,58929,94701,1
296197,58929,67365,1
296198,61936,61622,1
296199,84533,83030,1
296200,73565,65903,1
296201,73565,72541,1
296202,73565,88229,1
296203,96981,96185,1
296204,96981,88693,1
296205,57112,97273,1
296206,57017,97254,1
296207,77581,76553,1
296208,84597,83974,1
296209,59200,97619,1
296210,57107,94737,1
296211,88271,83848,1
296212,97419,58003,1
296213,80858,64463,1
296214,99186,89105,1
296215,62571,64463,1
296216,57694,95135,1
296217,59324,95674,1
296218,59324,88246,1
296219,59961,97773,1
296220,95693,98794,1
296221,56617,97160,1
296222,59081,64463,1
296223,91561,91436,1
296224,77957,99254,1
296225,62560,95608,1
296226,98351,61796,1
296227,74111,96618,1
296228,70537,66524,1
296229,72974,89725,1
296230,86368,96943,1
296231,70613,88893,1
296232,60379,73792,1
296233,64430,97305,1
296234,62225,98374,1
296235,63972,79100,1
296236,74259,89105,1
296237,70608,94824,1
296238,66436,96866,1
296239,76804,98994,1
296240,96182,65249,1
296241,73599,70016,1
296242,83256,99576,1
296243,95292,70778,1
296244,60918,98033,1
296245,56674,57775,1
296246,56674,91855,1
296247,56674,97154,1
296248,83530,83080,1
296249,80042,80019,1
296250,64419,98904,1
296251,60895,98024,1
296252,60895,98043,1
296253,59622,97714,1
296254,88532,68981,1
296255,66878,69759,1
296256,95409,64465,1
296257,94672,82981,1
296258,81968,81005,1
296259,72882,96512,1
296260,74889,96398,1
296261,97710,57899,1
296262,56868,97209,1
296263,97448,98151,1
296264,58148,97449,1
296265,57976,56823,1
296266,62562,89105,1
296267,59335,88246,1
296268,56575,97154,1
296269,65733,96574,1
296270,65153,88128,1
296271,99131,62177,1
296272,86269,85147,1
296273,95896,80241,1
296274,68027,65368,1
296275,76591,70099,1
296276,64382,99450,1
296277,57248,57775,1
296278,98499,76553,1
296279,98534,98539,1
296280,59974,97146,1
296281,63029,62923,1
296282,97661,97542,1
296283,65422,58597,1
296284,61593,61678,1
296285,83794,83592,1
296286,80148,80147,1
296287,80148,80108,1
296288,57518,97324,1
296289,60256,71473,1
296290,62109,98350,1
296291,62109,61585,1
296292,58834,69726,1
296293,58834,70567,1
296294,61193,98107,1
296295,61193,61034,1
296296,76719,98972,1
296297,59998,97823,1
296298,79664,79653,1
296299,80908,64471,3
296300,87429,86646,1
296301,57910,64421,1
296302,57910,58241,1
296303,57910,97258,3
296304,77653,99192,1
296305,78092,99272,1
296306,78092,96822,1
296307,66518,58317,1
296308,57173,59096,1
296309,86305,85147,1
296310,97180,56749,1
296311,62836,64174,1
296312,62836,58664,1
296313,94915,70099,1
296314,91276,64463,1
296315,57405,88287,1
296316,57405,97317,1
296317,62202,62185,1
296318,62202,62202,1
296319,98052,98051,1
296320,64136,97773,1
296321,92252,80270,1
296322,68596,68596,1
296323,95537,98794,1
296324,95544,64465,1
296325,93469,94255,1
296326,83204,90992,1
296327,80068,80036,1
296328,66665,58317,1
296329,58191,97458,1
296330,88997,93261,1
296331,97719,97710,1
296332,97719,57899,1
296333,85513,99676,1
296334,83456,83087,1
296335,97679,78649,1
296336,63871,98765,1
296337,63871,69032,1
296338,84078,99623,1
296339,57596,97336,1
296340,57596,56586,1
296341,83471,92817,1
296342,58744,97514,1
296343,57656,56586,1
296344,87933,87997,1
296345,87933,58501,1
296346,78416,99311,1
296347,60338,70588,1
296348,61146,74881,1
296349,61146,61463,1
296350,61146,87456,1
296351,61146,61146,1
296352,81683,78218,2
296353,61057,85998,1
296354,85439,85341,1
296355,85439,85180,1
296356,77736,89394,1
296357,83851,83244,1
296358,56845,97201,1
296359,69835,88128,1
296360,58373,86245,1
296361,58373,85290,1
296362,63439,98678,1
296363,98345,61678,1
296364,61422,61531,1
296365,57833,97391,1
296366,67144,69173,1
296367,58180,58179,1
296368,57560,57263,1
296369,84284,83711,1
296370,56773,92190,1
296371,77483,99132,1
296372,69446,93220,1
296373,60787,60870,1
296374,94349,65894,1
296375,60202,97873,1
296376,57429,73748,1
296377,84820,83147,1
296378,83628,99600,1
296379,96331,96335,1
296380,70207,75841,1
296381,85918,85818,1
296382,60031,97829,1
296383,58152,57910,1
296384,82981,82981,3
296385,58624,66943,1
296386,98223,98223,1
296387,97041,88009,1
296388,97041,88505,1
296389,63742,98731,1
296390,77791,96465,1
296391,63397,61754,1
296392,69751,70099,1
296393,76378,98917,1
296394,76639,76641,1
296395,61235,95162,1
