replied_to_id,source_user_id,target_user_id,times
294262,67851,97497,1
294263,61221,85291,1
294264,97602,97602,1
294265,89159,89159,1
294266,59345,83848,1
294267,88833,88833,1
294268,82657,82657,1
294269,65258,58484,1
294270,65258,64987,1
294271,65258,65215,1
294272,94405,94423,1
294273,85051,85051,1
294274,89287,88044,1
294275,84042,83848,1
294276,94908,94840,3
294277,96368,75849,1
294278,90690,90690,1
294279,92594,96724,1
294280,90765,70099,1
294281,93508,93755,1
294282,80514,98769,1
294283,86141,96943,1
294284,92060,96724,1
294285,97606,97606,1
294286,88258,88258,1
294287,69780,69408,1
294288,67105,67028,1
294289,86896,86896,1
294290,86876,86913,1
294291,58780,58780,1
294292,75827,96126,1
294293,61912,63205,1
294294,87299,87299,1
294295,70172,72420,1
294296,68940,97497,1
294297,66626,66562,1
294298,85119,58787,1
294299,65459,58597,1
294300,70388,73210,1
294301,75543,96114,1
294302,74809,96223,1
294303,70299,96120,1
294304,57913,64465,1
294305,63336,63271,1
294306,70986,96317,1
294307,86594,86594,2
294308,72954,96401,1
294309,75431,70851,1
294310,70327,70327,2
294311,59075,82941,1
294312,96200,96200,3
294313,75012,88364,1
294314,90887,58597,1
294315,69192,58727,1
294316,85542,85542,2
294317,85542,87013,1
294318,64682,93460,1
294319,81622,64463,1
294320,66656,67351,1
294321,66656,65325,1
294322,66656,65124,1
294323,66656,58501,1
294324,66656,58261,1
294325,69505,57692,1
294326,91483,96724,1
294327,57266,57700,1
294328,98879,64329,1
294329,80183,80183,1
294330,89099,89099,1
294331,66320,63624,1
294332,64252,96773,1
294333,88025,87936,1
294334,62858,60832,1
294335,89649,89649,1
294336,69101,69101,3
294337,57871,98634,1
294338,85696,85696,1
294339,60643,60832,1
294340,57317,90039,1
294341,69895,73478,1
294342,86993,86993,2
294343,74341,96155,1
294344,81190,96724,1
294345,74815,96126,1
294346,67705,66602,1
294347,99546,99546,1
294348,72918,96324,1
294349,65590,63711,1
294350,99429,80077,1
294351,70003,96120,1
294352,88514,88514,1
294353,97034,97034,1
294354,67751,69173,1
294355,97487,58317,1
294356,97487,60832,1
294357,97487,96153,1
294358,71844,70851,1
