talks_about_id,user_id,event_id
206861,60783,8
206862,92039,31
206863,77629,20
206864,63070,12
206865,84758,26
206866,86294,27
206867,65600,17
206868,65600,18
206869,65600,20
206870,64421,15
206871,78033,20
206872,77236,19
206873,90095,30
206874,60986,9
206875,81415,25
206876,82357,25
206877,86021,27
206878,57578,2
206879,60870,8
206880,89718,30
206881,76420,19
206882,76420,26
206883,73034,18
206884,72570,18
206885,66896,17
206886,86056,27
206887,91350,31
206888,88477,29
206889,88477,32
206890,87812,28
206891,90308,30
206892,69843,18
206893,60850,8
206894,61884,10
206895,70209,18
206896,58329,3
206897,60687,8
206898,67462,17
206899,80369,24
206900,74725,18
206901,95162,33
206902,95438,33
206903,60826,8
206904,58884,4
206905,86448,27
206906,58742,17
206907,58742,18
206908,58742,29
206909,66468,17
206910,84443,26
206911,67156,17
206912,66313,17
206913,73837,18
206914,77658,20
206915,65636,17
206916,70132,18
206917,61807,10
206918,61807,17
206919,61807,18
206920,61807,29
206921,89087,29
206922,81139,25
206923,92407,31
206924,57060,18
206925,60810,8
206926,62196,10
206927,61199,9
206928,64428,15
206929,70035,18
206930,90476,30
206931,66653,17
206932,67199,17
206933,63498,13
206934,63755,13
206935,63755,32
206936,92190,31
206937,74902,18
206938,91962,31
206939,74952,18
206940,67616,17
206941,81352,25
206942,88239,29
206943,87464,28
206944,81359,25
206945,57572,2
206946,70600,18
206947,92163,31
206948,80056,31
206949,57775,2
206950,57775,31
206951,86629,28
206952,86629,33
206953,70121,18
206954,91469,31
206955,64526,16
206956,57616,2
206957,84723,26
206958,68559,24
206959,68559,31
206960,95566,33
206961,88343,29
206962,73761,18
206963,73791,18
206964,73791,26
206965,93454,32
206966,59011,4
206967,90928,30
206968,90928,31
206969,90152,30
206970,64137,14
206971,92285,31
206972,61657,10
206973,61657,13
206974,81549,25
206975,58656,18
206976,85537,27
206977,74917,18
206978,73792,18
206979,59633,5
206980,78890,20
206981,86904,28
206982,78428,20
206983,62745,11
206984,95561,33
206985,64611,16
206986,91884,31
206987,63468,13
206988,74086,18
206989,88141,29
206990,61991,10
206991,80274,23
206992,66555,17
206993,83331,26
206994,90253,30
206995,84667,26
206996,64592,16
206997,81617,25
206998,62598,11
206999,67762,17
207000,93055,32
207001,93131,32
207002,84285,26
207003,58928,4
207004,91527,31
207005,80421,24
207006,71551,18
207007,73134,18
207008,78095,20
207009,94680,33
207010,57719,2
207011,56725,0
207012,88281,29
207013,88565,29
207014,66932,17
207015,83038,26
207016,73809,18
207017,85342,27
207018,88139,29
207019,88139,30
207020,88139,32
207021,95461,33
207022,63134,12
207023,61776,10
207024,70950,18
207025,90394,30
207026,87880,29
207027,58875,4
207028,81316,25
207029,88147,29
207030,81859,25
207031,85353,27
207032,71736,18
207033,59890,26
207034,61678,10
207035,82976,26
207036,92154,31
207037,58988,4
207038,62365,11
207039,77022,19
207040,88945,29
207041,57423,1
207042,89910,30
207043,58270,3
207044,60994,9
207045,64761,17
207046,71341,18
207047,64616,16
207048,62684,11
207049,64426,15
207050,82979,26
207051,87615,28
207052,74428,18
207053,72480,18
207054,83469,26
207055,84116,26
207056,64722,16
207057,92437,31
207058,69921,18
207059,85563,27
207060,67159,17
207061,67159,18
207062,67159,29
207063,65005,17
207064,65005,18
207065,63274,13
207066,95282,33
207067,90467,30
207068,57441,30
207069,65106,17
207070,57654,2
