relation_id,start_id,start_label,end_id,end_label,times
195789,1343,Tweet,88567,User,
195790,1343,Tweet,79100,User,
195791,1344,Tweet,79100,User,
195792,1345,Tweet,89743,User,
195793,1346,Tweet,79100,User,
195794,1347,Tweet,88567,User,
195795,1348,Tweet,88567,User,
195796,1348,Tweet,79100,User,
195797,1349,Tweet,63697,User,
195798,1350,Tweet,88246,User,
195799,1351,Tweet,88567,User,
195800,1351,Tweet,79100,User,
195801,1352,Tweet,88246,User,
195802,1355,Tweet,88567,User,
195803,1357,Tweet,88567,User,
195804,1357,Tweet,79100,User,
195805,1358,Tweet,90039,User,
195806,1362,Tweet,79100,User,
195807,1363,Tweet,64515,User,
195808,1364,Tweet,97305,User,
195809,1365,Tweet,90039,User,
195810,1366,Tweet,88567,User,
195811,1366,Tweet,79100,User,
195812,1367,Tweet,88567,User,
195813,1368,Tweet,88246,User,
195814,1369,Tweet,95162,User,
195815,1370,Tweet,90039,User,
195816,1372,Tweet,71473,User,
195817,1373,Tweet,57543,User,
195818,1376,Tweet,90039,User,
195819,1378,Tweet,90039,User,
195820,1380,Tweet,88567,User,
195821,1380,Tweet,79100,User,
195822,1381,Tweet,96534,User,
195823,1382,Tweet,88246,User,
195824,1384,Tweet,97306,User,
195825,1385,Tweet,88567,User,
195826,1385,Tweet,79100,User,
195827,1386,Tweet,88246,User,
195828,1387,Tweet,88567,User,
195829,1387,Tweet,79100,User,
195830,1388,Tweet,90039,User,
195831,1389,Tweet,95162,User,
195832,1390,Tweet,89743,User,
195833,1391,Tweet,88246,User,
195834,1394,Tweet,88246,User,
195835,1396,Tweet,90039,User,
195836,1398,Tweet,73784,User,
195837,1402,Tweet,97307,User,
195838,1404,Tweet,97308,User,
195839,1404,Tweet,79100,User,
195840,1407,Tweet,80241,User,
195841,1408,Tweet,97309,User,
195842,1411,Tweet,95162,User,
195843,1414,Tweet,90039,User,
195844,1417,Tweet,70778,User,
195845,1418,Tweet,61796,User,
195846,1422,Tweet,79100,User,
195847,1423,Tweet,88268,User,
195848,1425,Tweet,88268,User,
195849,1428,Tweet,89442,User,
195850,1429,Tweet,96534,User,
195851,1431,Tweet,97312,User,
195852,1431,Tweet,64465,User,
195853,1433,Tweet,97614,User,
195854,1434,Tweet,82941,User,
195855,1436,Tweet,83848,User,
195856,1437,Tweet,83848,User,
195857,1438,Tweet,97313,User,
195858,1439,Tweet,89465,User,
195859,1441,Tweet,97315,User,
195860,1449,Tweet,79100,User,
195861,1452,Tweet,79100,User,
195862,1454,Tweet,88287,User,
195863,1454,Tweet,97317,User,
195864,1456,Tweet,88287,User,
195865,1456,Tweet,97317,User,
195866,1457,Tweet,64463,User,
195867,1462,Tweet,63697,User,
195868,1464,Tweet,64465,User,
195869,1472,Tweet,97317,User,
195870,1473,Tweet,79100,User,
195871,1474,Tweet,88246,User,
195872,1477,Tweet,89743,User,
195873,1478,Tweet,73748,User,
195874,1480,Tweet,88567,User,
195875,1481,Tweet,79100,User,
195876,1483,Tweet,64463,User,
195877,1484,Tweet,88567,User,
195878,1484,Tweet,79100,User,
195879,1487,Tweet,95162,User,
195880,1489,Tweet,88246,User,
195881,1490,Tweet,88567,User,
195882,1490,Tweet,79100,User,
195883,1492,Tweet,90039,User,
195884,1493,Tweet,97318,User,
195885,1496,Tweet,78649,User,
195886,1498,Tweet,88246,User,
195887,1500,Tweet,80314,User,
195888,1507,Tweet,63697,User,
195889,1509,Tweet,88246,User,
195890,1510,Tweet,97319,User,
195891,1511,Tweet,59020,User,
195892,1515,Tweet,95162,User,
195893,1523,Tweet,97320,User,
195894,1532,Tweet,79100,User,
195895,1534,Tweet,67181,User,
195896,1535,Tweet,88246,User,
195897,1536,Tweet,90039,User,
195898,1548,Tweet,97322,User,
195899,1553,Tweet,90039,User,
195900,1569,Tweet,97323,User,
195901,1571,Tweet,90100,User,
195902,1572,Tweet,97324,User,
195903,1577,Tweet,97325,User,
195904,1579,Tweet,63697,User,
195905,1580,Tweet,88567,User,
195906,1580,Tweet,64463,User,
195907,1587,Tweet,97317,User,
195908,1589,Tweet,93429,User,
195909,1596,Tweet,61970,User,
195910,1599,Tweet,90039,User,
195911,1602,Tweet,97326,User,
195912,1603,Tweet,90039,User,
195913,1606,Tweet,97327,User,
195914,1610,Tweet,90039,User,
195915,1612,Tweet,90039,User,
195916,1615,Tweet,83595,User,
195917,1619,Tweet,57263,User,
195918,1620,Tweet,97329,User,
195919,1621,Tweet,97330,User,
195920,1622,Tweet,97331,User,
