retweeted_id,retweet_id,original_tweet_id
189225,2023,52305
189226,2026,52307
189227,2036,52309
189228,2038,52310
189229,2039,52309
189230,2040,52311
189231,2041,52312
189232,2046,52313
189233,2048,2047
189234,2049,52314
189235,2055,52316
189236,2061,2060
189237,2063,52317
189238,2065,52318
189239,2069,52319
189240,2072,52320
189241,2074,52321
189242,2075,52322
189243,2078,52324
189244,2082,52325
189245,2088,52327
189246,2089,52328
189247,2094,52329
189248,2101,52331
189249,2108,52333
189250,2116,52335
189251,2120,52336
189252,2121,52337
189253,2123,52338
189254,2129,52341
189255,2138,52342
189256,2139,52343
189257,2140,52344
189258,2141,52343
189259,2142,52345
189260,2144,52347
189261,2147,52348
189262,2149,52349
189263,2151,52351
189264,2152,52352
189265,2153,52353
189266,2154,52354
189267,2157,52355
189268,2158,52356
189269,2159,52357
189270,2160,52358
189271,2161,52359
189272,2168,52360
189273,2169,52361
189274,2176,52363
189275,2181,52365
189276,2183,52366
189277,2184,52367
189278,2201,52370
189279,2206,52371
189280,2207,52372
189281,2209,52373
189282,2220,52310
189283,2224,52375
189284,2226,52376
189285,2229,52377
189286,2232,52378
189287,2234,52378
189288,2236,52380
189289,2237,52381
189290,2240,52383
189291,2241,52384
189292,2248,52386
189293,2252,52387
189294,2254,52388
189295,2255,52389
189296,2258,52390
189297,2261,52391
189298,2264,52392
189299,2268,52393
189300,2272,52396
189301,2276,52388
189302,2278,52397
189303,2283,52398
189304,2292,52400
189305,2298,2297
189306,2299,52401
189307,2301,52402
189308,2302,52403
189309,2305,52404
189310,2307,52405
189311,2310,52406
189312,2311,52407
189313,2312,52406
189314,2313,52408
189315,2314,52406
189316,2324,52410
189317,2325,52411
189318,2330,52413
189319,2331,52414
189320,2336,2335
189321,2341,52416
189322,2343,52417
189323,2345,52418
189324,2346,52419
189325,2348,52420
189326,2356,52424
189327,2360,52425
189328,2361,52426
189329,2365,52427
189330,2368,52428
189331,2373,52429
189332,2374,52430
189333,2381,52432
189334,2382,52433
189335,2393,52434
189336,2394,52435
189337,2396,52436
189338,2398,52437
189339,2403,52439
189340,2404,52440
189341,2410,52442
189342,2412,52444
189343,2415,52446
189344,2417,52447
189345,2421,52450
189346,2424,52452
189347,2427,52453
189348,2428,52454
189349,2430,52455
189350,2432,52456
189351,2433,52457
189352,2438,52459
189353,2440,52460
189354,2441,52461
189355,2443,52462
189356,2444,52463
189357,2448,52464
189358,2449,52465
189359,2450,52466
189360,2451,52467
189361,2453,52469
189362,2461,52472
189363,2464,52473
189364,2468,52474
189365,2472,52475
189366,2473,52476
189367,2476,52478
189368,2477,52479
189369,2478,52480
189370,2483,52481
189371,2484,52480
189372,2489,52483
189373,2494,52484
189374,2499,52485
189375,2500,52486
189376,2518,52490
189377,2520,52491
189378,2521,52490
189379,2523,52492
189380,2524,52493
189381,2527,52496
189382,2534,52499
189383,2537,52500
189384,2539,52499
189385,2542,52501
189386,2547,52504
189387,2552,52505
189388,2557,52505
189389,2558,52507
189390,2566,52508
189391,2568,52509
189392,2573,52511
189393,2574,52512
189394,2576,52513
189395,2580,52514
189396,2585,52515
189397,2587,52516
189398,2591,52517
189399,2592,52518
189400,2603,52520
189401,2606,52518
189402,2621,52525
189403,2623,52526
189404,2624,52527
189405,2627,52528
189406,2628,52529
189407,2636,52518
189408,2638,52530
189409,2641,52531
189410,2643,52532
189411,2651,52533
189412,2653,52534
189413,2656,52536
189414,2657,52536
189415,2660,52537
189416,2661,52538
189417,2664,52537
189418,2668,52532
189419,2670,52541
189420,2675,52538
189421,2679,52542
189422,2681,52543
189423,2686,52544
189424,2694,52547
189425,2698,52548
189426,2700,52549
189427,2701,52550
189428,2704,52550
189429,2712,52553
189430,2714,52554
189431,2715,52555
189432,2728,52558
189433,2733,52559
189434,2735,52560
189435,2737,2736
189436,2743,52561
189437,2753,52562
189438,2765,52566
189439,2768,52568
189440,2771,52569
189441,2774,52532
189442,2780,52516
189443,2782,52574
189444,2786,52576
189445,2793,52577
189446,2797,52579
189447,2800,52580
189448,2803,52581
189449,2806,52582
189450,2809,52584
189451,2810,52585
189452,2812,52582
189453,2814,52586
189454,2821,52588
189455,2822,52589
189456,2823,52590
189457,2826,52591
189458,2827,52588
189459,2829,52592
189460,2830,52593
189461,2831,52594
189462,2832,52595
189463,2833,52596
189464,2834,52590
189465,2836,52591
189466,2837,52597
189467,2840,52598
189468,2841,52599
189469,2844,52601
189470,2850,52602
189471,2853,52603
189472,2854,52604
189473,2856,52605
189474,2863,52607
189475,2866,52608
189476,2869,52610
189477,2882,52612
189478,2884,52613
189479,2890,52590
189480,2895,52616
189481,2896,52617
189482,2900,52618
189483,2902,52619
189484,2903,52620
189485,2905,52621
189486,2911,52623
189487,2912,52624
189488,2913,52624
189489,2915,52624
189490,2918,52625
189491,2921,52626
189492,2925,52627
189493,2926,52628
189494,2929,52629
189495,2934,52630
189496,2935,52631
189497,2949,52635
189498,2952,52636
189499,2954,52637
189500,2958,52639
