reply_to_id,start_id,start_label,end_id,end_label
193487,10654,Tweet,65793,User
193488,10659,Tweet,58261,User
193489,10660,Tweet,58484,User
193490,10680,Tweet,69776,User
193491,10691,Tweet,64993,User
193492,10828,Tweet,58501,User
193493,10928,Tweet,58501,User
193494,10931,Tweet,58614,User
193495,10933,Tweet,66003,User
193496,10945,Tweet,58317,User
193497,10964,Tweet,67004,User
193498,10969,Tweet,62796,User
193499,10981,Tweet,64995,User
193500,11026,Tweet,64987,User
193501,11040,Tweet,64976,User
193502,11043,Tweet,66081,User
193503,11062,Tweet,66094,User
193504,11070,Tweet,96426,User
193505,11092,Tweet,58501,User
193506,11097,Tweet,63007,User
193507,11107,Tweet,67757,User
193508,11129,Tweet,58298,User
193509,11134,Tweet,64670,User
193510,11142,Tweet,65171,User
193511,11157,Tweet,63007,User
193512,11177,Tweet,97932,User
193513,11194,Tweet,71473,User
193514,11257,Tweet,65489,User
193515,11260,Tweet,96591,User
193516,11263,Tweet,71473,User
193517,11294,Tweet,62993,User
193518,11307,Tweet,83848,User
193519,11321,Tweet,62805,User
193520,11329,Tweet,89599,User
193521,11346,Tweet,58501,User
193522,11348,Tweet,66301,User
193523,11351,Tweet,58664,User
193524,11355,Tweet,58850,User
193525,11374,Tweet,67365,User
193526,11379,Tweet,63624,User
193527,11414,Tweet,58484,User
193528,11424,Tweet,98604,User
193529,11425,Tweet,58484,User
193530,11443,Tweet,58484,User
193531,11460,Tweet,64976,User
193532,11485,Tweet,64670,User
193533,11520,Tweet,58298,User
193534,11523,Tweet,65368,User
193535,11556,Tweet,58578,User
193536,11571,Tweet,98604,User
193537,11572,Tweet,65325,User
193538,11576,Tweet,66468,User
193539,11578,Tweet,65506,User
193540,11597,Tweet,58298,User
193541,11610,Tweet,83848,User
193542,11613,Tweet,65363,User
193543,11633,Tweet,65104,User
193544,11643,Tweet,58317,User
193545,11661,Tweet,58484,User
193546,11669,Tweet,65124,User
193547,11673,Tweet,81578,User
193548,11685,Tweet,66524,User
193549,11713,Tweet,58362,User
193550,11727,Tweet,66586,User
193551,11733,Tweet,65124,User
193552,11750,Tweet,65325,User
193553,11785,Tweet,66562,User
193554,11790,Tweet,83848,User
193555,11807,Tweet,66643,User
193556,11837,Tweet,58578,User
193557,11856,Tweet,60832,User
193558,11874,Tweet,90465,User
193559,11880,Tweet,66687,User
193560,11887,Tweet,58501,User
193561,11890,Tweet,69726,User
193562,11919,Tweet,65677,User
193563,11924,Tweet,96528,User
193564,11940,Tweet,65124,User
193565,11946,Tweet,97474,User
193566,11947,Tweet,96278,User
193567,11992,Tweet,97513,User
193568,12006,Tweet,66790,User
193569,12014,Tweet,65215,User
193570,12036,Tweet,97374,User
193571,12080,Tweet,96426,User
193572,12089,Tweet,58501,User
193573,12128,Tweet,69759,User
193574,12147,Tweet,63853,User
193575,12151,Tweet,95438,User
193576,12160,Tweet,66877,User
193577,12164,Tweet,65104,User
193578,12243,Tweet,58484,User
193579,12264,Tweet,67077,User
193580,12266,Tweet,67004,User
193581,12281,Tweet,65041,User
193582,12297,Tweet,58317,User
193583,12300,Tweet,58484,User
193584,12344,Tweet,67211,User
193585,12378,Tweet,58597,User
193586,12380,Tweet,66981,User
193587,12423,Tweet,67028,User
193588,12495,Tweet,58298,User
193589,12497,Tweet,65104,User
193590,12543,Tweet,89274,User
193591,12579,Tweet,67159,User
193592,12592,Tweet,65052,User
193593,12629,Tweet,69007,User
193594,12636,Tweet,58484,User
193595,12644,Tweet,65059,User
193596,12684,Tweet,66094,User
193597,12689,Tweet,58501,User
193598,12691,Tweet,97504,User
193599,12714,Tweet,65372,User
193600,12768,Tweet,58597,User
193601,12776,Tweet,67339,User
193602,12802,Tweet,58597,User
